Time [10ms],UTC,Lat [deg],Lon [deg],Alt [m],SpeedKMh,Course [deg],Fix,NumSat,HDOP
3,122025.40,47.337183,8.567881,407.000000,2.631692,341.980000,1,12,0.660000
4,122025.60,47.337185,8.567880,407.000000,,,1,12,0.660000
22,122025.80,47.337186,8.567880,,2.274256,342.070000,0,0,
25,122025.80,47.337186,8.567880,407.100000,,,1,12,0.660000
46,122026.00,47.337187,8.567879,,2.218696,344.110000,0,0,
49,122026.00,47.337187,8.567879,407.100000,,,1,12,0.660000
72,122026.30,47.337189,8.567879,,2.494644,343.980000,0,0,
74,122026.30,47.337189,8.567879,407.100000,,,1,12,0.660000
93,122026.50,47.337190,8.567878,,2.831708,347.850000,0,0,
95,122026.50,47.337190,8.567878,407.100000,,,1,12,0.660000
114,122026.70,47.337192,8.567878,,2.861340,349.430000,0,0,
117,122026.70,47.337192,8.567878,407.100000,,,1,12,0.660000
146,122027.00,47.337194,8.567877,,2.694660,349.940000,0,0,
149,122027.00,47.337194,8.567877,407.000000,,,1,12,0.660000
173,122027.30,47.337196,8.567877,,2.452048,344.320000,0,0,
175,122027.30,47.337196,8.567877,407.000000,,,1,12,0.660000
195,122027.50,47.337197,8.567876,,2.531684,339.490000,0,0,
198,122027.50,47.337197,8.567876,407.000000,,,1,12,0.660000
223,122027.80,47.337199,8.567874,,3.116916,334.040000,0,0,
224,122027.80,47.337199,8.567874,407.100000,,,1,12,0.660000
247,122028.00,47.337200,8.567873,,2.590948,337.780000,0,0,
249,122028.00,47.337200,8.567873,407.100000,,,1,12,0.660000
274,122028.30,47.337201,8.567872,,2.663176,343.930000,0,0,
276,122028.30,47.337201,8.567872,407.200000,,,1,12,0.660000
309,122028.60,47.337204,8.567872,,3.065060,348.310000,0,0,
311,122028.60,47.337204,8.567872,407.200000,,,1,12,0.660000
332,122028.90,47.337206,8.567872,,2.692808,353.280000,0,0,
334,122028.90,47.337206,8.567872,407.200000,,,1,12,0.660000
363,122029.20,47.337208,8.567871,,2.600208,349.490000,0,0,
365,122029.20,47.337208,8.567871,407.100000,,,1,12,0.660000
382,122029.40,47.337209,8.567870,,2.463160,343.270000,0,0,
385,122029.40,47.337209,8.567870,407.000000,,,1,12,0.660000
403,122029.60,47.337210,8.567870,,2.520572,339.160000,0,0,
405,122029.60,47.337210,8.567870,407.000000,,,1,12,0.660000
422,122029.80,47.337211,8.567869,,2.453900,341.720000,0,0,
424,122029.80,47.337211,8.567869,407.100000,,,1,12,0.660000
446,122030.00,47.337213,8.567868,,2.463160,347.200000,0,0,
449,122030.00,47.337213,8.567868,407.200000,,,1,12,0.660000
472,122030.30,47.337214,8.567868,,2.537240,351.530000,0,0,
474,122030.30,47.337214,8.567868,407.200000,,,1,12,0.660000
492,122030.50,47.337216,8.567867,,2.550204,349.420000,0,0,
495,122030.50,47.337216,8.567867,407.100000,,,1,12,0.660000
512,122030.70,47.337217,8.567867,,2.452048,347.370000,0,0,
515,122030.70,47.337217,8.567867,407.100000,,,1,12,0.660000
535,122030.90,47.337218,8.567866,,2.828004,343.160000,0,0,
537,122030.90,47.337218,8.567866,407.000000,,,1,12,0.660000
561,122031.20,47.337220,8.567865,,3.009500,343.920000,0,0,
562,122031.20,47.337220,8.567865,407.000000,,,1,12,0.660000
582,122031.40,47.337221,8.567864,,2.727996,347.450000,0,0,
584,122031.40,47.337221,8.567864,407.000000,,,1,12,0.660000
603,122031.60,47.337222,8.567864,,2.985424,350.600000,0,0,
605,122031.60,47.337222,8.567864,407.000000,,,1,12,0.660000
632,122031.90,47.337223,8.567863,,2.442788,353.190000,0,0,
635,122031.90,47.337223,8.567863,407.000000,,,1,12,0.660000
662,122032.20,47.337225,8.567862,,2.353892,348.490000,0,0,
663,122032.20,47.337225,8.567862,406.900000,,,1,12,0.660000
682,122032.40,47.337226,8.567862,,2.272404,344.400000,0,0,
