Time [10ms],UTC,Lat [deg],Lon [deg],Alt [m],SpeedKMh,Course [deg],Fix,NumSat,HDOP
19,121439.40,47.337701,8.567747,407.800000,3.111360,345.500000,1,12,0.700000
21,121439.60,47.337702,8.567746,407.800000,,,1,12,0.700000
38,121439.80,47.337704,8.567746,,3.100248,346.320000,0,0,
40,121439.80,47.337704,8.567746,407.800000,,,1,12,0.700000
61,121440.00,47.337705,8.567745,,2.842820,345.680000,0,0,
63,121440.00,47.337705,8.567745,407.800000,,,1,12,0.700000
80,121440.20,47.337707,8.567744,,3.035428,344.160000,0,0,
82,121440.20,47.337707,8.567744,407.800000,,,1,12,0.700000
99,121440.40,47.337708,8.567744,,2.961348,345.100000,0,0,
101,121440.40,47.337708,8.567744,407.800000,,,1,12,0.700000
119,121440.60,47.337709,8.567743,,2.924308,343.430000,0,0,
122,121440.60,47.337709,8.567743,407.800000,,,1,12,0.700000
138,121440.80,47.337711,8.567742,,2.963200,341.490000,0,0,
141,121440.80,47.337711,8.567742,407.800000,,,1,12,0.700000
160,121441.00,47.337713,8.567741,,3.220628,339.470000,0,0,
162,121441.00,47.337713,8.567741,407.900000,,,1,12,0.700000
179,121441.20,47.337714,8.567740,,3.107656,337.850000,0,0,
181,121441.20,47.337714,8.567740,407.900000,,,1,12,0.700000
200,121441.40,47.337715,8.567738,,2.883564,337.780000,0,0,
203,121441.40,47.337715,8.567738,407.900000,,,1,12,0.700000
220,121441.60,47.337717,8.567737,,2.883564,338.700000,0,0,
222,121441.60,47.337717,8.567737,407.800000,,,1,12,0.700000
239,121441.80,47.337718,8.567736,,3.020612,338.610000,0,0,
240,121441.80,47.337718,8.567736,407.800000,,,1,12,0.700000
262,121442.00,47.337720,8.567735,,2.902084,338.680000,0,0,
264,121442.00,47.337720,8.567735,407.800000,,,1,12,0.700000
280,121442.20,47.337721,8.567734,,3.131732,339.430000,0,0,
281,121442.20,47.337721,8.567734,407.900000,,,1,12,0.700000
297,121442.40,47.337723,8.567734,,3.203960,342.790000,0,0,
300,121442.40,47.337723,8.567734,407.900000,,,1,12,0.700000
318,121442.60,47.337724,8.567733,,2.970608,345.800000,0,0,
321,121442.60,47.337724,8.567733,408.000000,,,1,12,0.700000
339,121442.80,47.337726,8.567732,,2.889120,345.020000,0,0,
341,121442.80,47.337726,8.567732,408.000000,,,1,12,0.700000
360,121443.00,47.337727,8.567732,,2.874304,344.280000,0,0,
362,121443.00,47.337727,8.567732,408.000000,,,1,12,0.700000
378,121443.20,47.337728,8.567731,,2.848376,343.180000,0,0,
